schedule_id,student_id,absent_status,created_at,updated_at,deleted_at
1,1,0,,,
1,2,0,,,
1,3,0,,,
17,5,0,,,
17,6,0,,,
19,12,0,,,
19,14,0,,,
19,15,0,,,
19,18,0,,,
24,12,0,,,
24,13,0,,,
24,14,0,,,
27,1,0,,,
27,2,0,,,
27,3,0,,,
43,5,0,,,
43,6,0,,,
45,12,0,,,
45,14,0,,,
45,15,0,,,
45,18,0,,,
50,12,0,,,
50,13,0,,,
50,14,0,,,
53,1,0,,,
53,2,0,,,
53,3,0,,,
69,5,0,,,
69,6,0,,,
71,12,0,,,
71,14,0,,,
71,15,0,,,
71,18,0,,,
76,12,0,,,
76,13,0,,,
76,14,0,,,
79,1,0,,,
79,2,0,,,
79,3,0,,,
95,5,0,,,
95,6,0,,,
97,12,0,,,
97,14,0,,,
97,15,0,,,
97,18,0,,,
102,12,0,,,
102,13,0,,,
102,14,0,,,
105,1,0,,,
105,2,0,,,
105,3,0,,,
121,5,0,,,
121,6,0,,,
123,12,0,,,
123,14,0,,,
123,15,0,,,
123,18,0,,,
128,12,0,,,
128,13,0,,,
128,14,0,,,
131,1,0,,,
131,2,0,,,
131,3,0,,,
147,5,0,,,
147,6,0,,,
149,12,0,,,
149,14,0,,,
149,15,0,,,
149,18,0,,,
154,12,0,,,
154,13,0,,,
154,14,0,,,
157,1,0,,,
157,2,0,,,
157,3,0,,,
173,5,0,,,
173,6,0,,,
175,12,0,,,
175,14,0,,,
175,15,0,,,
175,18,0,,,
180,12,0,,,
180,13,0,,,
180,14,0,,,
183,1,0,,,
183,2,0,,,
183,3,0,,,
199,5,0,,,
199,6,0,,,
201,12,0,,,
201,14,0,,,
201,15,0,,,
201,18,0,,,
206,12,0,,,
206,13,0,,,
206,14,0,,,
209,1,0,,,
209,2,0,,,
209,3,0,,,
225,5,0,,,
225,6,0,,,
227,12,0,,,
227,14,0,,,
227,15,0,,,
227,18,0,,,
232,12,0,,,
232,13,0,,,
232,14,0,,,
235,1,0,,,
235,2,0,,,
235,3,0,,,
251,5,0,,,
251,6,0,,,
253,12,0,,,
253,14,0,,,
253,15,0,,,
253,18,0,,,
258,12,0,,,
258,13,0,,,
258,14,0,,,
261,1,0,,,
261,2,0,,,
261,3,0,,,
277,5,0,,,
277,6,0,,,
279,12,0,,,
279,14,0,,,
279,15,0,,,
279,18,0,,,
284,12,0,,,
284,13,0,,,
284,14,0,,,
287,1,0,,,
287,2,0,,,
287,3,0,,,
303,5,0,,,
303,6,0,,,
305,12,0,,,
305,14,0,,,
305,15,0,,,
305,18,0,,,
310,12,0,,,
310,13,0,,,
310,14,0,,,
313,1,0,,,
313,2,0,,,
313,3,0,,,
329,5,0,,,
329,6,0,,,
331,12,0,,,
331,14,0,,,
331,15,0,,,
331,18,0,,,
336,12,0,,,
336,13,0,,,
336,14,0,,,
339,1,0,,,
339,2,0,,,
339,3,0,,,
355,5,0,,,
355,6,0,,,
357,12,0,,,
357,14,0,,,
357,15,0,,,
357,18,0,,,
362,12,0,,,
362,13,0,,,
362,14,0,,,
365,1,0,,,
365,2,0,,,
365,3,0,,,
381,5,0,,,
381,6,0,,,
383,12,0,,,
383,14,0,,,
383,15,0,,,
383,18,0,,,
388,12,0,,,
388,13,0,,,
388,14,0,,,
391,1,0,,,
391,2,0,,,
391,3,0,,,
407,5,0,,,
407,6,0,,,
409,12,0,,,
409,14,0,,,
409,15,0,,,
409,18,0,,,
414,12,0,,,
414,13,0,,,
414,14,0,,,
