student_id,season_cd,campus_cd,apply_date,comment,regist_status,plan_status,created_at,updated_at,deleted_at
101,202301,01,,,0,0,,,
102,202301,01,,,0,0,,,
103,202301,01,,,0,0,,,
104,202301,01,,,0,0,,,
105,202301,01,,,0,0,,,
106,202301,01,,,0,0,,,
107,202301,01,,,0,0,,,
108,202301,01,,,0,0,,,
109,202301,01,,,0,0,,,
110,202301,01,,,0,0,,,
111,202301,01,,,0,0,,,
112,202301,01,,,0,0,,,
113,202301,01,,,0,0,,,
114,202301,01,,,0,0,,,
115,202301,01,,,0,0,,,
116,202301,01,,,0,0,,,
117,202301,02,,,0,0,,,
118,202301,02,,,0,0,,,
119,202301,02,,,0,0,,,
120,202301,01,,,0,0,,,
201,202301,04,,,0,0,,,
202,202301,04,,,0,0,,,
203,202301,04,,,0,0,,,
204,202301,04,,,0,0,,,
205,202301,04,,,0,0,,,
206,202301,04,,,0,0,,,
207,202301,04,,,0,0,,,
208,202301,04,,,0,0,,,
209,202301,04,,,0,0,,,
210,202301,04,,,0,0,,,
211,202301,04,,,0,0,,,
212,202301,04,,,0,0,,,
213,202301,04,,,0,0,,,
214,202301,04,,,0,0,,,
215,202301,04,,,0,0,,,
216,202301,04,,,0,0,,,
217,202301,05,,,0,0,,,
218,202301,05,,,0,0,,,
219,202301,05,,,0,0,,,
220,202301,04,,,0,0,,,
301,202301,06,,,0,0,,,
302,202301,06,,,0,0,,,
303,202301,06,,,0,0,,,
304,202301,06,,,0,0,,,
305,202301,06,,,0,0,,,
306,202301,06,,,0,0,,,
307,202301,06,,,0,0,,,
308,202301,06,,,0,0,,,
309,202301,06,,,0,0,,,
310,202301,06,,,0,0,,,
311,202301,06,,,0,0,,,
312,202301,06,,,0,0,,,
313,202301,06,,,0,0,,,
314,202301,06,,,0,0,,,
315,202301,06,,,0,0,,,
316,202301,06,,,0,0,,,
317,202301,07,,,0,0,,,
318,202301,07,,,0,0,,,
319,202301,07,,,0,0,,,
320,202301,06,,,0,0,,,
401,202301,10,,,0,0,,,
402,202301,10,,,0,0,,,
403,202301,10,,,0,0,,,
404,202301,10,,,0,0,,,
405,202301,10,,,0,0,,,
406,202301,10,,,0,0,,,
407,202301,10,,,0,0,,,
408,202301,10,,,0,0,,,
409,202301,10,,,0,0,,,
410,202301,10,,,0,0,,,
411,202301,10,,,0,0,,,
412,202301,10,,,0,0,,,
413,202301,10,,,0,0,,,
414,202301,10,,,0,0,,,
415,202301,10,,,0,0,,,
416,202301,10,,,0,0,,,
417,202301,13,,,0,0,,,
418,202301,13,,,0,0,,,
419,202301,13,,,0,0,,,
420,202301,10,,,0,0,,,
101,202302,01,,,0,0,,,
102,202302,01,,,0,0,,,
103,202302,01,,,0,0,,,
104,202302,01,,,0,0,,,
105,202302,01,,,0,0,,,
106,202302,01,,,0,0,,,
107,202302,01,,,0,0,,,
108,202302,01,,,0,0,,,
109,202302,01,,,0,0,,,
110,202302,01,,,0,0,,,
111,202302,01,,,0,0,,,
112,202302,01,,,0,0,,,
113,202302,01,,,0,0,,,
114,202302,01,,,0,0,,,
115,202302,01,,,0,0,,,
116,202302,01,,,0,0,,,
117,202302,02,,,0,0,,,
118,202302,02,,,0,0,,,
119,202302,02,,,0,0,,,
120,202302,01,,,0,0,,,
201,202302,04,,,0,0,,,
202,202302,04,,,0,0,,,
203,202302,04,,,0,0,,,
204,202302,04,,,0,0,,,
205,202302,04,,,0,0,,,
206,202302,04,,,0,0,,,
207,202302,04,,,0,0,,,
208,202302,04,,,0,0,,,
209,202302,04,,,0,0,,,
210,202302,04,,,0,0,,,
211,202302,04,,,0,0,,,
212,202302,04,,,0,0,,,
213,202302,04,,,0,0,,,
214,202302,04,,,0,0,,,
215,202302,04,,,0,0,,,
216,202302,04,,,0,0,,,
217,202302,05,,,0,0,,,
218,202302,05,,,0,0,,,
219,202302,05,,,0,0,,,
220,202302,04,,,0,0,,,
301,202302,06,,,0,0,,,
302,202302,06,,,0,0,,,
303,202302,06,,,0,0,,,
304,202302,06,,,0,0,,,
305,202302,06,,,0,0,,,
306,202302,06,,,0,0,,,
307,202302,06,,,0,0,,,
308,202302,06,,,0,0,,,
309,202302,06,,,0,0,,,
310,202302,06,,,0,0,,,
311,202302,06,,,0,0,,,
312,202302,06,,,0,0,,,
313,202302,06,,,0,0,,,
314,202302,06,,,0,0,,,
315,202302,06,,,0,0,,,
316,202302,06,,,0,0,,,
317,202302,07,,,0,0,,,
318,202302,07,,,0,0,,,
319,202302,07,,,0,0,,,
320,202302,06,,,0,0,,,
401,202302,10,,,0,0,,,
402,202302,10,,,0,0,,,
403,202302,10,,,0,0,,,
404,202302,10,,,0,0,,,
405,202302,10,,,0,0,,,
406,202302,10,,,0,0,,,
407,202302,10,,,0,0,,,
408,202302,10,,,0,0,,,
409,202302,10,,,0,0,,,
410,202302,10,,,0,0,,,
411,202302,10,,,0,0,,,
412,202302,10,,,0,0,,,
413,202302,10,,,0,0,,,
